,city_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date
511,hakkari,37.58,44.17,43.36,69,82,3.51,TR,1588727198
512,pokosnoye,55.53,101.05,38.07,78,100,17.76,RU,1588727198
513,parasia,22.2,78.77,79.81,32,100,5.88,IN,1588727198
514,muravlenko,63.79,74.52,35.89,99,100,6.38,RU,1588727198
515,vestmannaeyjar,63.44,-20.27,44.38,87,100,10.65,IS,1588726984
516,leland,34.26,-78.04,68.0,88,1,6.93,US,1588727062
517,cibinong,-6.48,106.85,82.4,83,20,3.36,ID,1588727199
518,skowhegan,44.77,-69.72,45.0,73,96,6.51,US,1588727199
519,baykit,61.67,96.37,37.92,75,73,8.08,RU,1588727199
520,mackenzie,55.3,-123.17,51.8,43,20,6.93,CA,1588727199
521,san carlos de bariloche,-41.15,-71.31,41.0,70,0,5.82,AR,1588727147
522,mandurah,-32.55,115.7,57.99,69,100,1.99,AU,1588727199
523,barra patuca,15.8,-84.28,82.29,76,88,11.79,HN,1588727200
524,maketu,-37.77,176.45,61.0,52,0,5.01,NZ,1588727200
525,mitsamiouli,-11.38,43.28,81.52,74,98,8.43,KM,1588727200
526,hofn,64.25,-15.21,47.21,52,76,11.92,IS,1588727000
527,uusikaupunki,60.8,21.41,35.6,69,100,4.7,FI,1588727200
528,parvatipuram,18.78,83.43,82.35,81,11,2.68,IN,1588727200
529,port lavaca,28.61,-96.63,84.0,82,43,3.0,US,1588727200
530,tazmalt,36.39,4.4,64.4,88,100,6.93,DZ,1588727201
531,meadow lake,34.8,-106.54,82.99,14,20,3.36,US,1588727201
532,alugan,12.22,125.48,85.44,72,91,7.85,PH,1588727201
533,longyearbyen,78.22,15.64,30.2,68,20,24.16,SJ,1588726954
534,huambo,-12.78,15.74,59.7,72,0,5.19,AO,1588727080
535,labuhan,-6.88,112.21,82.0,82,39,7.07,ID,1588727201
536,umm lajj,25.02,37.27,75.78,46,1,11.5,SA,1588727202
537,tabory,58.52,64.55,54.59,69,99,8.3,RU,1588727202
538,lakes entrance,-37.88,147.98,61.0,72,100,2.3,AU,1588727202
539,dargaville,-35.93,173.88,58.77,59,2,14.16,NZ,1588727202
540,port blair,11.67,92.75,84.43,72,46,4.56,IN,1588727202
541,faanui,-16.48,-151.75,82.56,74,5,10.29,PF,1588727202
542,villanueva,15.32,-88.0,86.0,66,75,13.87,HN,1588727202
543,cabedelo,-6.98,-34.83,78.8,94,75,6.93,BR,1588727202
544,neryungri,56.67,124.65,44.22,58,0,7.02,RU,1588727203
545,najran,17.49,44.13,73.4,60,40,2.15,SA,1588727203
546,winnemucca,40.97,-117.74,80.6,3,1,16.11,US,1588726941
547,kurchum,48.57,83.65,41.97,64,0,11.56,KZ,1588727203
548,kars,40.6,43.09,44.6,93,75,6.93,TR,1588727203
549,bayevo,53.28,80.77,42.96,66,95,7.4,RU,1588727203
550,kogon,39.72,64.55,59.0,93,0,2.24,UZ,1588727203
551,payo,-3.75,103.64,79.25,84,0,1.21,ID,1588727204
552,pontypool,51.7,-3.04,46.99,74,0,6.91,GB,1588727204
553,taoudenni,22.68,-3.98,91.42,11,0,6.46,ML,1588727204
554,arman,59.7,150.17,38.64,68,100,20.45,RU,1588727204
555,thinadhoo,0.53,72.93,83.98,76,100,10.2,MV,1588727204
556,sidhauli,27.28,80.83,68.0,94,0,9.8,IN,1588727204
557,paso de los toros,-32.82,-56.52,50.22,82,0,11.5,UY,1588727205
558,muscat,23.61,58.59,87.8,62,6,2.24,OM,1588727205
559,kazerun,29.62,51.65,77.2,29,100,1.66,IR,1588727205
560,beaverlodge,55.22,-119.44,55.4,32,40,16.11,CA,1588727205
561,kant,27.8,79.8,75.47,50,0,8.57,IN,1588727205
